Blog	four	second	here	china	music	want	re	moment	wasn	service	letter	require	best	men	cut	recent	country	asked	much	life	things	had	possible	old	people	fox	o	inside	time	leave	team	brilliant	love	working	such	data	natural	so	years	internet	million	open	city	future	russia	say	take	average	laws	congressional	where	jobs	screen	many	former	polls	newspaper	technology	being	around	world	thinks	power	favorite	her	october	am	congress	having	case	small	past	scientists	company	science	beautiful	states	information	signs	found	really	try	number	obama	sell	also	play	plan	set	see	europe	death	last	read	readers	parents	d	senate	into	link	us	ago	young	race	video	great	makes	next	high	move	doing	books	could	david	start	festival	fact	bring	should	ve	off	web	government	five	become	does	letters	above	told	study	work	india	very	law	order	then	them	make	screening	do	dr	away	we	easy	night	security	post	takes	months	way	war	test	brown	change	history	market	live	car	heard	product	still	halt	half	now	year	happen	shows	british	television	online	begin	price	only	israeli	between	comes	these	food	speed	real	rules	blackberry	deficit	business	your	weight	low	building	month	run	advertising	family	taken	site	help	robert	since	american	kindle	clean	justice	less	pretty	close	look	while	used	game	popular	economic	eating	computer	department	e	go	facebook	michael	claim	recession	control	university	special	management	ben	winner	evolution	she	humans	officials	state	tuesday	both	strange	party	nation	well	twitter	home	washington	museum	contest	star	lives	protest	companies	even	ever	never	met	call	rights	movies	give	president	before	better	went	side	reader	moving	modern	seek	tells	don	m	stop	bad	said	against	three	tiny	if	just	yes	deal	down	editor	digital	weekend	finally	did	afghanistan	useful	effort	making	may	designed	man	group	interesting	thing	think	first	americans	long	little	were	especially	show	enough	black	get	nearly	reading	across	according	those	pay	same	peace	money	wants	videos	film	again	photos	u	talks	children	fall	public	town	available	through	someone	house	energy	hard	members	least	part	believe	build	most	find	common	please	foreign	point	simple	elections	fun	source	big	google	often	back	decision	per	exercise	named	private	themselves	obvious	chief	age	day	morris	ipad	calling	national	progress	general	value	com	ads	like	success	italian	buy	j	under	school	leaders	would	phone	me	my	times	end	over	each	got	free	already	top	too	though	earth	amazon	report	countries	news	games	faces	expected	republicans	experience	social	why	no	level	democrats	says	goes	water	groups	crisis	today	term	name	software	place	any	sure	gulf	written	federal	review	come	minister	good	week	without	model	researchers	blog	recalls	there	all	chinese	research	worse	ten	tea	what	israel	court	rather	might	generation	health	story	hotel	nothing	him	art	recently	c	political	flight	majority	called	once	cases	apple	use	few	women	tax	something	united	six	instead	practice	our	out	york	g	agency	which	local	walk	gets	book	know	because	own	made	whether	percent	other
The Full Feed from HuffingtonPost.com	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	1	2	0	0	0	0	0	0	0	0	1	1	0	3	1	4	0	2	1	0	1	0	3	0	0	0	1	3	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	4	0	0	1	11	1	2	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	5	1	0	3	0	0	0	1	0	2	1	2	2	1	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	2	0	4	0	0	0	0	0	1	0	1	0	0	0	4	2	0	1	2	0	0	0	0	0	2	0	1	1	4	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	2	3	1	0	0	2	1	0	0	2	0	3	0	0	0	0	1	3	2	0	0	2	0	1	0	1	3	0	0	0	0	3	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	2	0	3	2	1	0	1	1	0	0	0	0	2	0	2	1	0	0	0	2	2	0	0	1	0	1	0	3	0	1	1	3	0	0	1	2	1	1	3	1	1	1	0	2	2	3	0	0	0	0	2	5	0	1	0	1	0	1	0	0	1	2	0	2	0	0	0	0	4	0	0	0	2	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	2	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	3	0	1	2	0	0	0	0	1	6	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	2	0	0	2	0	0	0	0	1	2	0	0	0	4	1	0	0	1	0	0	0	2	0	0	2	1	0	0	2
The New Yorker	4	1	1	0	9	0	0	0	0	0	0	0	2	0	0	0	2	0	0	4	0	4	0	1	1	0	1	0	1	0	0	0	2	1	0	0	0	1	8	0	1	0	6	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	1	3	5	0	0	0	2	0	1	0	0	1	3	0	0	8	0	0	0	3	0	0	2	0	3	3	0	3	3	0	4	0	0	1	4	0	0	2	4	0	1	0	0	1	2	0	0	1	0	0	4	0	0	2	2	8	0	3	0	2	0	0	4	1	0	0	0	1	0	2	0	0	1	0	0	0	2	3	2	0	0	2	0	1	6	2	7	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	1	0	3	3	3	0	0	2	0	0	1	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	1	2	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	6	0	0	0	0	1	0	1	0	2	4	0	0	1	0	0	0	1	0	3	0	1	2	6	2	1	3	0	1	0	1	1	2	5	0	4	0	1	1	0	2	1	0	2	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	6	1	2	2	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	4	2	7	0	25	0	4	0	8	0	2	0	0	2	0	0	2	1	0	3	0	0	0	0	0	0	2	0	2	3	0	2	0	2	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	5	0	2	1	0	1	1	0	1	3	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	2	1	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	5	1	0	0	0	1	4	0	1	0	0	0	1	0	2	1	1	1	0	4	3	0	1	0	0	0	2	4	0	1	5	2	2	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	1	4	4	0	0	2	0	2	2	2	0	2	0	1	0	0	1
NYT > Science	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	3	2	1	0	0	2	2	0	2	0	0	1	0	1	0	1	1	0	2	0	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	3	2	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	6	1	0	3	1	0	0	1	2	0	3	1	2	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	4	1	1	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	1	0	7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	2	1	1	0	0	0	3	0	0	1	0	0	2	2	0	1	0	1
Top Stories from Newser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYT > Style	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	11	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	2	3	1	0	0	1	0	0	0	0	0	0	1
NYT > Business Day	0	1	0	4	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	2	0	1	2	0	0	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	5	0	0	4	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	3	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	3	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	3	3	0	0	0	2	0	3	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	2	0	2	0
Roger Ebert's Journal	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	3	0	0	2	1	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	4	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	2	2	1	3	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	4	0	0	0	0	0	1
NYT > Opinion	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYT > World	1	2	1	3	0	0	0	0	0	1	1	0	0	1	0	2	3	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	2	0	0	1	10	0	0	1	0	0	4	1	0	0	1	0	1	0	0	1	2	0	2	0	0	0	5	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	6	1	1	0	1	0	1	0	2	0	0	1	0	0	5	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	2	2	3	0	2	0	0	0	0	0	1	4	0	1	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	2	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	2	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	3	2	2	0	2	0	0	0	1	0	0	0	0	0	3	0	1	1	1	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	0	2	4	0	1	1	2	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	1	0	0	2	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0
Wired Top Stories	2	1	2	0	0	2	0	0	2	1	0	1	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	1	0	1	0	0	0	0	1	1	0	0	3	0	0	3	0	0	0	0	2	0	1	0	0	0	2	2	0	2	0	0	1	1	2	0	0	0	0	0	1	0	2	4	0	0	0	0	1	2	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	1	0	1	0	1	0	0	2	4	1	2	3	1	0	0	0	1	2	0	0	2	0	0	2	1	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	2	2	0	1	0	1	2	0	0	2	0	0	0	4	2	1	0	2	0	0	2	3	0	0	1	0	1	2	4	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	2	3	2	0	0	0	2	1	0	0	0	0	1	0	1	0	0	2	0	1	2	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	2	0	0	4	3	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	3	0	0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	2	0	3	0	0	0	2	2	1	0	0	0	2	1	0	1	1	1	1	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	4	0	3	1	0	0	0	0	0	1	2	0	1	0	1	0	1	0	0	1	2	2	2	0	2	0	2	1	1	0	0	0	0	2	1	3	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0	3	0	0	4	0	2	0	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	2	0	1	0	1	0	2	2	0	0	1
The Endeavour	2	0	3	0	2	0	2	1	0	0	1	0	0	0	0	0	0	2	4	0	3	1	1	1	8	0	0	0	3	0	0	0	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	4	0	0	0	1	1	1	2	0	4	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0	2	0	0	1	0	0	1	2	0	0	0	3	0	0	2	0	1	1	0	1	0	0	0	2	4	0	0	0	2	2	1	0	1	0	0	1	0	5	0	1	0	0	3	0	1	0	0	0	6	0	1	0	0	0	6	5	0	6	0	0	3	0	0	0	5	0	0	2	0	0	0	2	0	0	0	0	6	2	0	0	0	1	0	0	0	0	2	1	0	0	0	0	2	0	6	0	1	1	0	0	0	3	3	5	0	1	0	0	0	0	1	1	1	3	0	0	0	0	0	3	0	0	0	2	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	1	1	6	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	3	0	0	0	1	0	2	0	2	2	0	1	0	0	0	4	0	0	0	2	0	0	5	1	0	0	2	0	2	2	0	4	1	1	0	0	2	0	1	0	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	2	0	2	0	3	3	3	1	0	4	3	0	0	0	2	1	8	1	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	3	0	1	0	0	2	1	2	0	0	0	1	0	0	0	0	1	0	4	4	0	0	0	2	0	0	0	1	0	0	3	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	0	4	4	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	1	2	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	2	1	3	1	0	8
NYT > Technology	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	2	0	1	2	0	0	0	0	0	3	0	0	0	1	1	1	2	0	3	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	2	2	1	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	3	0	3	1	0	1	0	0	0	3	0	0	2	1	0	0	0	2	0	0	0	0	0	0	3	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	2	5	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	0	4	2	1	0	0	0	1	0	0	3	0	0	0	2	1	2	0	0	0	0	1	0	0	0	3	1	0	5	1	3	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	2	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
The Economist: Full print edition	14	24	3	40	0	5	9	2	2	3	0	3	14	8	9	14	49	4	34	12	11	44	3	18	51	0	1	2	31	2	4	2	4	4	28	5	5	59	59	7	1	6	22	9	6	11	19	8	4	3	27	8	2	29	13	5	9	4	18	22	61	4	12	0	30	5	3	5	4	6	16	15	2	15	10	1	12	3	2	11	4	2	11	25	3	38	4	11	14	26	14	4	28	1	3	1	3	8	53	0	5	25	4	6	8	10	9	20	14	9	7	2	31	9	7	3	5	2	19	0	21	5	46	10	11	19	4	9	4	6	9	16	6	11	7	15	49	23	0	22	4	7	15	2	6	7	8	5	12	17	17	4	6	12	10	9	9	4	3	5	28	3	15	41	66	3	6	17	4	10	4	6	31	11	31	8	24	10	4	6	10	0	5	30	8	0	10	10	13	11	3	5	2	1	13	2	48	34	1	4	4	16	2	6	11	9	14	3	2	17	3	3	5	5	9	4	6	3	7	3	9	7	6	0	4	2	28	2	7	46	1	20	3	46	8	22	2	17	14	1	5	2	4	1	13	38	11	4	4	6	9	1	2	32	24	15	4	7	3	2	4	4	2	4	35	2	13	22	22	17	4	32	27	3	10	28	3	3	2	3	8	12	2	3	10	39	2	17	14	2	4	3	34	6	24	15	65	7	2	4	9	19	12	1	11	9	14	9	6	10	14	9	2	6	6	0	0	14	13	5	24	8	3	18	3	19	10	17	8	16	11	6	2	55	10	4	2	15	8	2	12	2	3	31	3	18	20	3	9	2	4	7	12	6	17	5	12	2	6	5	11	2	9	4	9	1	30	9	3	16	1	18	7	8	46	7	1	2	11	19	63	10	8	7	12	5	23	12	2	28	5	29	3	12	3	7	15	2	23	14	32	9	16	16	5	14	4	10	8	11	6	3	12	18	2	5	4	3	2	6	21	13	21	8	6	2	0	2	34	49	17	7	8	10	12	26	10	3	6	22	5	5	8	2	6	14	3	13	1	16	3	4	10	13	2	1	10	17	4	18	5	13	4	5	2	10	53	10	1	3	62	13	4	6	8	7	19	20	19	9	0	42
